Claim,Evidence,Source,Link of Evidence,Label (SUPPORTED/REFUTED/NOT ENOUGH INFORMATION (NEI)),Annotation,Language,Evidence ,LINK OF EVIDENCE,LABEL(supported/not supported/not enough information),Source URL,Verdict,Reason,Label (Supported/Not Supported/ not enough information (NEI) ),Unnamed: 5,Label,Label (Supported/Not Supported/Not Enough Information (NEI)),Annotation (എന്തുകൊണ്ട് Supported/Not Supported/NEI),Source Link,Category,Label ,Column1,Label 1,Label 2
ബ്രിട്ടീഷ് രാജകുമാരൻ ഹാരി ഉൾപ്പെടെയുള്ളവർ ഡെയ്‌ലി മെയിൽ പ്രസാധകർക്കെതിരെ നൽകിയ വിവരശേഖരണ കേസിൽ 2026 ജൂലൈ 7-ന് കോടതി വിധി പ്രതികൂലമായി.,"എൽട്ടൻ ജോൺ, എലിസബത്ത് ഹർലി എന്നിവരും ഉൾപ്പെട്ട സംയുക്ത കേസിലാണ് ബ്രിട്ടീഷ് ജഡ്ജി വിധി പുറപ്പെടുവിച്ചത്.",E! Online,,,"പ്രിൻസ് ഹാരി, എൽട്ടൻ ജോൺ, എലിസബത്ത് ഹർലി തുടങ്ങിയവർ ഡെയ്‌ലി മെയിൽ പ്രസാധകർക്കെതിരെ നൽകിയ വിവരശേഖരണ കേസിൽ 2026 ജൂലൈ 7-ന് ജഡ്ജി മാത്യു നിക്ലിൻ പ്രതികൂലമായി വിധിച്ചെന്ന് Reuters, CBC, Deadline സ്ഥിരീകരിക്കുന്നു.",Malayalam,,,,,,,,,Supported,,,https://www.eonline.com/news/lawsuit,,,,,
تلنگانہ اسمبلی کے اجلاس کی کارروائی کی مدت میں کسی بھی قسم کی توسیع نہیں کی گئی۔,حیدرآباد میں ہونے والے اجلاس میں حکومت نے تین دن کی توسیع دی تھی، جس کی وجہ گزشتہ ماہ کی شدید بارش تھی۔ اجلاس کی کارروائی 24 ستمبر سے شروع ہوئی تھی اور 7 دن جاری رہی۔,The Siasat Daily (Urdu) - سیاست ڈیلی، حیدرآباد,https://urdu.siasat.com/news/%d8%a7%d8%b3%d9%85%d8%a8%d9%84%db%8c-%d8%a7%d8%ac%d9%84%d8%a7%d8%b3-%d8%ba%db%8c%d8%b1-%d9%85%d8%b9%db%8c%d9%86%db%81-%d9%85%d8%af%d8%aa-%da%a9%db%8c%d9%84%d8%a6%db%92-%d9%85%d9%84%d8%aa%d9%88%db%8c-2-1332066/,,مضمون میں واضح طور پر بتایا گیا ہے کہ اسمبلی کے اجلاس کی مدت میں توسیع کی گئی تھی، جو دعوے کی تردید کرتا ہے۔,Urdu,,,,,,,,,Not Supported,,,,,,,,
उडिरहेको प्लेनमा चार घण्टा योग गराएर गिनिज बुक अफ वर्ल्ड रेकर्डमा कीर्तिमान कायम गरेको।,"उडिरहेको प्लेनमा योग शिविर गरेर 'गिनिज वर्ल्ड रेकर्ड' कायम गरेको दावी मिथ्या - Nepal Factcheck ☰ होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध × होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध तथ्यजाँच मिथ्या सूचना वागमती सम्बन्धित प्रदेश उडिरहेको प्लेनमा योग शिविर गरेर ‘गिनिज वर्ल्ड रेकर्ड’ कायम गरेको दावी मिथ्या Home तथ्यजाँच मिथ्या सूचना सागर बुढाथोकी मंसिर ५, २०८१ उडिरहेको प्लेनमा योग शिविर गरेर ‘गिनिज वर्ल्ड रेकर्ड’ कायम गरेको दावी मिथ्या अमेरिकाको आकाशमा उडिरहेको प्लेनमा चार घण्टा योग शिविर राखेर ‘गिनिज बुक अफ वर्ल्ड रेकर्ड’मा उल्लेख विश्व कीर्तिमान कायम गरेको दावी सामाजिक सञ्जालमा भाइरल भएको छ। तर हाम्रो तथ्यजाँचले यो दावी मिथ्या रहेको ठहर गरेको छ। गिनिज बुक अफ वर्ल्ड रेकर्डमा हालसम्म त्यस्तो कीर्तिमान दर्ता भएको छैन। के छ दावी? पत्रकार बिनु पोखरेलको २२ हजार फलोअर्स रहेको फेसबुक पेजमा एउटा रिल अपलोड गरिएको छ। आचार्य राजन शर्मासँग गरेको कुराकानीको क्लिप काटेर नोभेम्बर १७ मा अपलोड गरिएको उक्त रिलमा आचार्य राजनले ‘उडिरहेको प्लेनमा योगा सिकाएर गिनिज बुक अफ वर्ल्ड रेकर्डमा रेकर्ड कायम गरेको’ दावी गरेका छन्। उनले भनेका छन्, “अमेरिकामा उडिरहेको प्लेनमा क्याप्टेनलाई ध्यानको लागि भनेँ… योगको लागि भनेँ… स्वीकार गरे,… पछि ओर्लिँदा र दुई दिनपछि थाहा भयो, त्यो त वर्ल्ड रेकर्ड कायम भएछ गिनिज बुकमा..।” हेर्नुस्, स्क्रिन रेकर्ड https://nepalfactcheck.org/wp-content/uploads/2024/11/Facebook-2.mp4 आचार्यले थप भनेका छन्, “पहिलो योग शिविर थियो २०१७ को सेप्टेम्बरमा…मैले न्यूयोर्कबाट लस एञ्जलस जाँदाखेरि करिब पाँच घण्टा चानचुनको उडानमा चार घण्टाको शिविर थियो त्यहाँभित्र…. अहिले म गएँ भने एटलान्टा एयरलाइन्सले फ्रि टिकट दिन्छ।” हामीले तथ्यजाँच गर्दासम्म यो भिडियोमा १,६०० रियाक्शन छ भने ६१ कमेण्ट र १४४ पटक सेयर गरिएको छ। पत्रकार पाेखरेलले नै सामाजिक सञ्जाल एक्समा सेयर गरेको सोही भिडियो हामीले तथ्यजाँच गर्दासम्म ९२ हजार जनाले हेरेका छन् भने १२२ वटा रियाक्सन, ५० वटा कमेण्ट र ६२ वटा रिपोस्ट छ। हेर्नुस् स्क्रिनसट पाेखरेल*को व्यक्तिगत युट्युब च्यानलमा पुरा भिडियो अपलोड गरिएको छ",NepalFactCheck.org,https://nepalfactcheck.org/2024/11/claim-of-world-record-for-yoga-in-a-flying-plane-is-false/,,मिथ्या सूचना। हालसम्म उडिरहेको प्लेनमा चार घण्टा योग गराएको रेकर्ड गिनिज बुक अफ वर्ल्ड रेकर्डमा दर्ता भएको छैन्। त्यसैले राजन शर्माले पत्रकार बिनु पोखरेलसँगको कुराकानीका क्रममा गरेको दावी मिथ्या छ। * असावधानीवश अर्कै नाम पर्न गएकोले सच्याइएको ।,Nepali,,,,,,,,,REFUTES,,,,finance_investment,,,,
स्थानीय तह निर्वाचनका क्रममा विभिन्न स्थानीय तहमा विभिन्न उम्मेदवार निर्वाचित भइसकेका छन्।,"के विभिन्न स्थानीय तहमा निर्विरोध निर्वाचित भएको घोषणा भइसकेको हो? - Nepal Factcheck ☰ होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध × होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध तथ्यजाँच भ्रामक सूचना के विभिन्न स्थानीय तहमा निर्विरोध निर्वाचित भएको घोषणा भइसकेको हो? Home तथ्यजाँच भ्रामक सूचना उमेश श्रेष्ठ बैशाख १५, २०७९ के विभिन्न स्थानीय तहमा निर्विरोध निर्वाचित भएको घोषणा भइसकेको हो? वैशाख ३० गते हुन लागेको स्थानीय तहको निर्वाचनका क्रममा वैशाख ११ र १२ गते उम्मेदवारको मनोनयन दर्ता सकिए लगत्तै केही मिडिया र सामाजिक सञ्जालमा पनि विभिन्न ठाउँमा निर्विरोध निर्वाचित भएको खबर आएका छन्। तर हाम्रो तथ्य जाँचमा ती खबर भ्रामक रहेको देखिएको छ। कहाँ कस्तो खबर ? विभिन्न मिडियामा निर्विरोध निर्वाचित भएको सम्बन्धी आएका समाचार यस्ता छन्- पर्वतमा एमालेका दुई महिला उम्मेदवार निर्विरोध निर्वाचित (रेडियो नेपाल) पाल्पामा दुई महिला वडा सदस्य निर्विरोध निर्वाचित (देशसञ्चार) स्थानीय तह निर्वाचन: तीन गाउँपालिकाको नेतृत्व निर्विरोध (नागरिक) स्थानीय निर्वाचन : इन्द्रसरोवरमा एमालेबाट दुई वडा सदस्य निर्विरोध (फरकधार) रसुवामा दुई महिला वडा सदस्य निर्विरोध (सेतोपाटी) पाल्पामा एमालेका दुई उम्मेदवार सदस्यमा निर्विरोध (अन्नपूर्ण पोस्ट) त्यसैगरी फेसबुकमा २ लाख ३६ हजारभन्दा बढी फलोअर भएका पूर्व सचिव भीम उपाध्यायले बिहीबार यस्तो लेखेका छन्- बिहीबार रातिसम्म उनको यो पोस्टमा १४ सय रियाक्सन, १८५ कमेन्ट र ९५ सेयर भएको देखिन्छ। के हो तथ्य? निर्वाचन आयोगले जारी गरेको स्थानीय तह निर्वाचन निर्देशिका २०७८ को दफा ५५ मा निर्विरोध निर्वाचित भएको घोषणा कसरी गर्ने बारे विवरण छ- निर्देशिका अनुसार उम्मेदवारको अन्तिम नामावली प्रकाशन भइसकेपछि मात्र जति जना निर्वाचित हुनुपर्ने हो, त्यति मात्र संख्यामा वा कम उम्मेदवार कायम भएमा निर्विरोध निर्वाचित भएको घोषणा गर्नुपर्ने उल्लेख छ। तर यो तथ्य जाँच तयार पार्दा (वैशाख १५ गते बिहीबार)सम्म अन्तिम नामावली नै प्रकाशन भइसकेको छैन। निर्वाचन आयोगको इबुलेटिनमा भएको सूचना अनुसार वैशाख १६ गते बल्ल उम्मेदवारको अन्तिम नामावली प्रकाशन हुन्छ। बिहीबार निर्वाचन आयोगले गरेको प",NepalFactCheck.org,https://nepalfactcheck.org/2022/04/local-election/,,भ्रामक सूचना। निर्वाचन आयोगले निर्विरोध निर्वाचित भएको घोषणा गरिसकेको छैन। निर्देशिका र तालिका अनुसार निर्वाचन आयोगले वैशाख १६ गते उम्मेदवारको अन्तिम नामावली प्रकाशन गरिसकेपछि मात्र निर्विरोध निर्वाचित भएको घोषणा गर्नेछ।,Nepali,,,,,,,,,REFUTES,,,,politics_elections,,,,
"కేంద్ర ప్రభుత్వం పాలు, పెరుగు మరియు నిత్యావసరాలపై జీఎస్‌టీ ని 50% కి పెంచింది.",నిత్యావసరాలపై 50% జీఎస్‌టీ విధించబడలేదు; సాధారణ ప్రామాణిక రేట్లు మాత్రమే అమల్లో ఉన్నాయి.,GST Council / PIB Fact Check,https://factcheck.pib.gov.in,,,Telugu,,,,,,,Not Supported,,,,,,,,,,
تلینگانہ کے پہلے حاجیوں کا قافلہ اپنے مقدس سفر کے بعد حیدرآباد واپس پہنچ گیا ہے۔,تلینگانہ کے پہلے حاجیوں کا قافلہ 13 جون کو صبح 4 بجے حیدرآباد پہنچا، جس میں 262 حاجی شامل تھے۔ انہوں نے 46 روحانی دن مقدس شہروں میں گزارے اور اپنی واپسی پر تلینگانہ ریاستی حجہ کمیٹی کی انتظامات پر شکریہ ادا کیا۔,Munsif Daily (Urdu) - منصف ڈیلی، حیدرآباد,https://munsifdaily.com/first-batch-of-telangana-hajj-pilgrims-returns/,,یہ ثبوت دعویٰ کی تصدیق کرتا ہے کیونکہ مضمون میں حاجیوں کے حیدرآباد واپسی کی تفصیلات اور ان کے سفر کی مدت کے بارے میں بتایا گیا ہے۔,Urdu,,,,,,,,,Supported,,,,,,,,
रवि लामिछाने नागरिकताको प्रमाणपत्र लिन जिल्ला प्रशासन कार्यालय काठमाडौँमा लाइन लागेको फोटो।,"के हो नागरिकता लिन रवि लामिछाने लाइनमा बसेको भाइरल फोटोको तथ्य? - Nepal Factcheck ☰ होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध × होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध तथ्यजाँच भ्रामक सूचना वागमती के हो नागरिकता लिन रवि लामिछाने लाइनमा बसेको भाइरल फोटोको तथ्य? Home तथ्यजाँच भ्रामक सूचना उमेश श्रेष्ठ माघ १६, २०७९ के हो नागरिकता लिन रवि लामिछाने लाइनमा बसेको भाइरल फोटोको तथ्य? अमेरिकी नागरिकता परित्याग पछि नेपाली नागरिकता पुनः कायम गर्ने प्रक्रिया पूरा गरेको नदेखिएको ठहर गर्दै प्रतिनिधि सभा सदस्यको उम्मेदवार हुन नपाउने आदेश सर्वोच्च अदालतले गरेपछि पूर्व उपप्रधान तथा गृहमन्त्री रवि लामिछानेले आइतबार (२०७९ माघ १५ गते) जिल्ला प्रशासन कार्यालय काठमाडौँमा गई नागरिकता लिए। योसँगै सामाजिक सञ्जालमा एउटा फोटो भाइरल भयो जसमा रवि अरु थुप्रै मानिसको बीचमा लाइन लागेको देख्न सकिन्छ। फोटोसँगै नागरिकता लिन सर्वसाधारण सँग लाइनमा बसेको दावी पनि गरिएको छ। तर हाम्रो तथ्य जाँचमा यो फोटो पुरानो भएको र गलत व्याख्याका साथ भ्रामक रुपमा फैलिएको देखिएको छ। यसरी भयो भाइरल ११ लाख फलोअर्स भएको जोक्स नेपाल नामको फेसबुक पेजमा आइतबार बिहान १० बजेर ५६ मिनेटमा ‘रबि लामिछाने नागरिकताको प्रमाणपत्रका लागि जिल्ला प्रशासन कार्यालयमा..’ लेख्दै फोटो राखिएको थियो। २४ घण्टामा यो पोस्टमा १५ हजार रियाक्सन, ४५२ कमेन्ट र ९५ सेयर देख्न सकिन्छ। अर्काइभ त्यसैगरी ७ लाख ७६ हजार फलोअर्स भएको पाथीभरा न्युज नामको फेसबुक पेजले आइतबार ११ बजेर ११ मिनेटमा ‘निवर्तमान गृहमन्त्री रवि लामिछाने नागरिकताको प्रमाणपत्र लिनको लागि लाइनमा जिल्ला प्रशासन कार्यालय’ लेख्दै सोही फोटोसहितको पोस्ट गरेको छ। सोमबार मध्याह्नसम्ममा यो पोस्टमा ३२ सय रियाक्सन, ३४४ कमेन्ट र १०१ सेयर देख्न सकिन्छ। अर्काइभ सामाजिक सञ्जालमा भाइरल भएको यो फोटोलाई केही अनलाइन मिडियाले पनि राखेका छन्। नेपालन्युजले Former HM Lamichhane to take citizenship today शीर्षकमा राखेको समाचारमा राखेका तीन फोटोहरुमध्ये अन्तिमको फोटो यही छ। हेर्नुस् अर्काइभ। के हो तथ्य ? यो फोटोलाई हामीले इनभिड वी भेरिफाइमा रहेका सबै रिभर्स इमेज सर्च इन्जिनहरुमा खोज्ने प्रयास ",NepalFactCheck.org,https://nepalfactcheck.org/2023/01/rabi-lamichhane-viral-photo/,,भ्रामक सूचना। रवि लामिछाने कार्यालयमा पुग्नुअघि नै सामाजिक सञ्जालमा लाइन लागिरहेको फोटो राखेको देखिन्छ। उनले त्यो दिन लगाएको पोशाक र भाइरल भएको फोटोमा रहेको पोशाक फरक देखिन्छ। भाइरल भएको फोटोमा देखिएका कम्तिमा दुई व्यक्तिलाई हामीले राष्ट्रिय स्वतन्त्र पार्टीको गत भदौमा काठमाडौँको स्वयम्भू स्टार ब्याङ्क्वेटमा भएको केन्द्रीय प्रशिक्षण भेलाको फोटोमा भेटेका छौँ। उक्त भेलाको फोटो र भाइरल भएको फोटोमा धेरै समानता देखिन्छ। तसर्थ नागरिकताको प्रमाणपत्र लिन लाइन लागेको दावी गरिएको फोटोको व्याख्या भ्रामक रुपमा गरेको हामीले पायौँ।,Nepali,,,,,,,,,REFUTES,,,,politics_elections,,,,
2018 മേയ് 3-ന് ബാസ്‌ക് വേർപിരിയൽ ഗ്രൂപ്പ് ETA (Euskadi Ta Askatasuna) ഔദ്യോഗികമായി പിരിച്ചുവിടൽ പ്രഖ്യാപിച്ചു.,1959 ൽ സ്ഥാപിതമായ ETA 853 കൊലപ്പെടുത്തൽ ഉൾക്കൊള്ളുന്ന 50 വർഷത്തെ ഭീകരവാദ ചരിത്രം ഔദ്യോഗികമായി അവസാനിപ്പിച്ചതായി ഒരു പ്രഖ്യാപന കത്ത് വഴി അറിയിച്ചു.,BBC,https://www.bbc.com/news/world-europe-44009378,,,Malayalam,,,,,,,Supported,,,,"BBC, NPR, Global Security തുടങ്ങിയ ഒന്നിലധികം അന്താരാഷ്ട്ര സ്രോതസ്സുകൾ 2018 മേയ് 3-ന് (ചില റിപ്പോർട്ടുകളിൽ മേയ് 2/3) ETA ഔദ്യോഗികമായി പിരിച്ചുവിടൽ പ്രഖ്യാപിച്ചതും, 1959-ൽ സ്ഥാപിതമായി 50-60 വർഷത്തെ ഭീകരവാദ ചരിത്രത്തിൽ ഏകദേശം 850-854 പേരെ കൊലപ്പെടുത്തിയതും സ്ഥിരീകരിക്കുന്നു. കണക്കുകൾ ഏകദേശം പൊരുത്തപ്പെടുന്നു (853 vs റിപ്പോർട്ട് ചെയ്യപ്പെട്ട 850-854 എന്ന റേഞ്ച്).",,,,,,
کانگریس پارٹی میں اصلاحات کی ضرورت محسوس کی جا رہی ہے۔,G-23 کے نام سے ایک گروپ قیادت کے فیصلوں پر اعتراضات کر رہا ہے، جس سے ظاہر ہوتا ہے کہ پارٹی کے اندر اصلاحات کی ضرورت کا احساس ہو رہا ہے۔ یہ گروپ قیادت کی طاقت کو چیلنج کر رہا ہے بلکہ پارٹی کے استحکام کے لیے سنجیدگی کا مظاہرہ بھی کر رہا ہے۔,The Siasat Daily (Urdu) - سیاست ڈیلی، حیدرآباد,https://urdu.siasat.com/news/%db%81%d9%85-%d8%b3%d8%a7%db%8c%db%81-%d8%af%d8%a7%d8%b1-%d9%be%db%8c%da%91-%d8%b2%d9%85%d8%a7%d9%86%db%92-%da%a9%db%92-%da%a9%d8%a7%d9%85-%d8%a2%d8%a6%db%92-1330773/,,یہ دعویٰ اس بات کی تصدیق کرتا ہے کہ کانگریس پارٹی میں اصلاحات کی ضرورت محسوس کی جا رہی ہے، کیونکہ G-23 گروپ قیادت کے فیصلوں پر سوال اٹھا رہا ہے۔,Urdu,,,,,,,,,Supported,,,,,,,,
"मार्च 2024 में एआई (AI) का इस्तेमाल करके पीएम नरेंद्र मोदी और विदेश मंत्री एस जयशंकर का फर्जी डीपफेक वीडियो बनाया गया है, जो एक निवेश योजना (Investment Scam) का झूठा प्रचार कर रहा है।",PIB ने सोशल मीडिया पर वायरल निवेश वीडियो को एआई से बना फर्जी डीपफेक बताया है। वीडियो में पीएम नरेंद्र मोदी और एस जयशंकर के नाम का गलत इस्तेमाल किया गया है। लोगों से बिना जांच किसी निवेश योजना पर भरोसा नहीं करने की अपील की गई है।,Navbharat Times,https://navbharattimes.indiatimes.com/india/pib-warns-fake-ai-video-uses-narendra-modi-and-s-jaishankar-to-promote-false-investment-scam-on-social-media/articleshow/132527250.cms,,यह दावा पूरी तरह समर्थित है। सबूत से प्रमाणित होता है कि एआई का उपयोग करके शीर्ष राजनेताओं के डीपफेक बनाए गए हैं ताकि लोगों को निवेश धोखाधड़ी का शिकार बनाया जा सके।,Hindi,,,,,,,,,Supported,,,,,,,,
కంటి చూపు తగ్గితే క్యారెట్ మాత్రమే తింటే సరిపోతుంది.,చూపు తగ్గడానికి అనేక కారణాలు ఉంటాయి.,American Academy of Ophthalmology,https://www.aao.org,,,Telugu,,,,,,,,,,,,,,,,Not Supported,Not Supported
RBI ग्राहकों को बैंकिंग जानकारी मांगने वाले संदिग्ध ईमेल और वेबसाइटों से सावधान रहने की सलाह देता है।,RBI की उपभोक्ता जागरूकता सामग्री फिशिंग और फर्जी वेबसाइटों से बचने की सलाह देती है।,instagram.com,https://www.instagram.com/reel/DV8LKRhDM0n/,,आधिकारिक साइबर सुरक्षा सलाह।,Hindi,,,,,,,,,,Supported,,,,,,,
साउदी अरबका मरुभूमिमा इतिहासमा पहिलो पटक हिउँ देखिएको।,"साउदी अरबमा इतिहासमै पहिलो पटक हिउँ परेको होइन, भाइरल फोटो दुई वर्ष पुरानो - Nepal Factcheck ☰ होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध × होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध तथ्यजाँच भ्रामक सूचना वागमती सम्बन्धित प्रदेश साउदी अरबमा इतिहासमै पहिलो पटक हिउँ परेको होइन, भाइरल फोटो दुई वर्ष पुरानो Home तथ्यजाँच भ्रामक सूचना सागर बुढाथोकी कार्तिक २२, २०८१ साउदी अरबमा इतिहासमै पहिलो पटक हिउँ परेको होइन, भाइरल फोटो दुई वर्ष पुरानो साउदी अरबको मरुभूमिमा इतिहासमै पहिलो पटक हिउँ परेको दावी गर्दै फोटोसहितका फेसबुक पोस्टहरु सामाजिक सञ्जालमा भाइरल भएको छ। तर, हाम्रो तथ्यजाँचमा फोटो र पोस्ट दुवै भ्रामक रहेको देखियो। भाइरल फोटो दुई वर्ष पुरानो (सन् २०२२ को) हो भने साउदी अरबका विभिन्न क्षेत्रमा यसअघि पनि हिउँ परेको थियो। के छ दावी ? ६ लाख ५६ हजार फलोअर्स रहेको शिक्षा नामको फेसबुक पेजमा मंगलबार (नोभेम्बर ५) मा ‘इतिहासमै पहिलोपटक साउदी अरबका मरुभूमिहरूमा हिउँ परेको छ’ क्याप्सन राख्दै एउटा फोटो पोस्ट गरिएको छ। उक्त फोटोमा केही सवारी साधन देखिन्छन् भने जमिनमा हिउँ परेको जस्तो सेतो देख्न सकिन्छ। अर्काइभ लिंक । यो तथ्य जाँच गर्दासम्म यो पोस्टमा २ हजार २ सय रिक्याक्सन, १ सय ११ कमेन्ट गरिएको छ भने ४५ पटक सेयर गरिएको छ। सोही दिन सोही पोस्ट र फोटो ‘एनइबी रिजल्ट एण्ड न्यूज’ नामक फेसबुक पोस्टमा समेत पोस्ट गरिएको छ। अर्काइभ लिंक यो तथ्यजाँच तयार पार्दासम्म उक्त पोस्टमा २३ सय रिक्याक्सन, ११३ कमेन्ट गरिएको छ भने १५ पटक सेयर गरिएको छ। तथ्य के हो ? साउदी अरबका मरुभूमिहरुमा इतिहासमै पहिलोपटक हिउँ परेको हो त ? सबैभन्दा पहिले हामीले नेपालमा भाइरल भएको फोटोलाई गुगलमा रिभर्स इमेज सर्च गर्‍यौँ। यस क्रममा २०२२ जनवरी २० मा सीएनएनमा प्रकाशित ‘रेयर स्नो एण्ड हिलस्टोर्म कभर साउदी डिजर्ट’ शीर्षकको समाचार फेला पार्‍यौँ। सीएनएनमा प्रकाशित समाचार अनुसार, शिक्षा र एनइबी रिजल्ट एण्ड न्यूजले राखेको भाइरल फोटो भर्खरैको नभएर दुई वर्ष अघि साउदी फोटोग्राफर ‌ओसामा अल हर्बीले खिचेका हुन्। त्यतिबेला साउदी अरेबको बादर (badr) मरुभूमि क्षेत्रमा हिउँ देखिएको थियो। हामीले ‘स्नोफल इन साउदी अरब, स्नोफ",NepalFactCheck.org,https://nepalfactcheck.org/2024/11/saudi-arabia-first-snowfall-al-jawf-desert-weather-fact-check/,,"भ्रामक सूचना। साउदी अरबमा इतिहासमै पहिलो पटक हिउँ परेको होइन। यसअघि पनि साउदी अरबका विभिन्न क्षेत्रमा हिउँ परिसकेको छ। अहिले साउदी अरबको अल जौफ क्षेत्रमा इतिहासमा पहिलो पटक हिउँ परेको हो। त्यस्तै, शिक्षा र एनइबी रिजल्ट एण्ड न्यूज फेसबुक पेजले पोस्ट गरेको फोटो पनि अल जौफ क्षेत्रको नभएर बादर क्षेत्रको दुई वर्षअघिको हो। त्यसैले, साउदी अरबका मरुभूमिमा इतिहासमा पहिलो पटक हिउँ परेको दावी भ्रामक हो।",Nepali,,,,,,,,,REFUTES,,,,finance_investment,,,,
ਬੱਬੂ ਮਾਨ ਦੀ ਨਵੀਂ ਫਿਲਮ ਨੇ ਪਹਿਲੇ ਦਿਨ 15 ਕਰੋੜ ਦੀ ਕਮਾਈ ਕੀਤੀ।,ਬਾਕਸ ਆਫਿਸ ਰਿਪੋਰਟਾਂ ਅਨੁਸਾਰ ਬੱਬੂ ਮਾਨ ਦੀ ਫਿਲਮ ਨੇ ਓਪਨਿੰਗ ਡੇਅ 'ਤੇ ਵਾਕਈ 15 ਕਰੋੜ ਕਮਾਏ ਹਨ।,Punjabi Tribune,https://www.punjabitribuneonline.com/?id=10022,,,Punjab,,,,,,,,,,,,,,Supported,,,
کانگریس نے 2024 کے لوک سبھا انتخابات میں بی جے پی کے خلاف کوئی ٹھوس اقدام نہیں اٹھایا ہے۔,ٹیجاشوی یادو نے کہا کہ اپوزیشن جماعتیں بی جے پی کو مرکز سے ہٹانے کے لیے پرعزم ہیں، لیکن کانگریس اس سلسلے میں کوئی سرگرمی نہیں دکھا رہی ہے۔ انہوں نے کانگریس سے اپوزیشن اتحاد کی قیادت کرنے کی اپیل کی۔,Munsif Daily (Urdu) - منصف ڈیلی، حیدرآباد,https://munsifdaily.com/all-oppn-parties-except-congress-uniting-against-bjp-tejashwi/,,ایویڈنس میں یہ بتایا گیا ہے کہ اپوزیشن جماعتیں بی جے پی کے خلاف متحد ہو رہی ہیں، لیکن کانگریس کے اقدام کی کمی کے بارے میں کوئی تفصیلات نہیں ہیں، جو دعویٰ کی تردید کرتا ہے۔,Urdu,,,,,,,,,Not Supported,,,,,,,,
